title,score,time
Efficient Hot-Water Piping (2013) [pdf],209 points,1 day ago
23andMe Granted FDA Authorization for Genetic Test on Cancer Risk,1031 points,2 days ago
Facebook’s tracking of non-users ruled illegal again in Europe,60 points,4 days ago
America Is Giving Away the $30B Medical Marijuana Industry,112 points,1 day ago
Show HN: 1-click orders for open source electronics,207 points,1 day ago
The forgetting curve explains why humans struggle to memorize,354 points,1 day ago
Create Statistics in PostgreSQL 10,15 points,2 days ago
Stop trying to guess display language based on keyboard layout,130 points,1 day ago
Awesome Developer Streams: curated list of awesome developers that stream,235 points,18 hours ago
"Economist behind Uber study admits error, adjusts numbers",128 points,1 day ago
Dissecting the 128-byte raycaster (2014),9 points,1 day ago
Ichiro Suzuki's return to the Seattle Mariners won't resolve his internal battle,493 points,22 hours ago
First firing of air-breathing electric thruster,94 points,3 days ago
Node v9.8.0,53 points,17 hours ago
End-To-end Audiovisual Speech Recognition,100 points,1 day ago
‘Blockchain’ is meaningless,131 points,17 hours ago
Why DNSFilter replaced InfluxDB with TimescaleDB,19 points,1 day ago
The Left-Handed Kid: On the Chinese Typewriter,26 points,1 day ago
TIOBE Index March 2018 – Ruby replaces Delphi in top 10,625 points,15 hours ago
Ask HN: Best way to learn modern C++?,65 points,1 day ago
Nanowire arrays restore vision in blind mice,365 points,1 day ago
Uber self-driving trucks are now moving cargo for Uber Freight customers,265 points,2 days ago
A Tiny Wolfenstein-Like Software Engine,7 points,2 days ago
Back to the future: The case for reversible computing,41 points,1 day ago
A few steps and mis-steps in the early years of Beethoven’s Violin Concerto,234 points,1 day ago
Lessons from Spotify,317 points,1 day ago
132 year old message in a bottle found on West Australian beach,151 points,2 days ago
Granular Audio Synthesis,248 points,1 day ago
Updated Request for Startups,41 points,2 days ago
ReactJS based data visualization made easy,135 points,20 hours ago
A non-profit that figured out how to massively cut suicide rates in Sri Lanka,47 points,20 hours ago
"Android beats iOS in smartphone loyalty, study finds",43 points,12 hours ago
Amelia Earhart: Island bones 'likely' belonged to famed pilot,338 points,12 hours ago
Operation Serenata de Amor – An AI project to analyze public spending in Brazil,390 points,2 days ago
MoviePass CEO says the app tracks your location before and after movies,398 points,3 days ago
Clang Is Now Used to Build Chrome for Windows,68 points,3 days ago
Socialhome: a federated personal profile with social networking functionality,32 points,2 days ago
The Slippery Search for Creativity,41 points,1 day ago
Show HN: Retweet disabler/enabler,8 points,1 day ago
Networking for founders,307 points,16 hours ago
Show HN: Investment Calculator – A simple retirement calculator,123 points,2 days ago
"Helping Cairo, the rendering library",3 points,1 day ago
Big profits drove a stock boom. Did the economy pay a price?,320 points,17 hours ago
Sin and Cos: The Programmer's Pals,23 points,2 days ago
InstallingDebianOn/Microsoft/Windows/SubsystemForLinux,18 points,1 day ago
Understanding Site Reliability Engineering Through Movies and Books,148 points,1 day ago
Amazon admits Alexa is laughing at people and is working on a fix,400 points,1 day ago
Counterintuitive Properties of High Dimensional Space,20 points,3 days ago
Robots can now solve Rubik’s Cubes in under HALF a SECOND,73 points,15 hours ago
Rethinking Residential Zoning,71 points,1 day ago
Sulong: Finding Errors in C Programs [pdf],407 points,1 day ago
Open-sourcing a 10x reduction in Apache Cassandra tail latency,76 points,3 days ago
Blockchain technology is on a collision course with EU privacy law,61 points,1 day ago
Live Coding a Stock Portfolio App,435 points,1 day ago
The Mystery of the Slow Downloads,27 points,3 days ago
A Lot Can Happen in a Decade,187 points,1 day ago
Google helps Pentagon analyze military drone footage,146 points,2 days ago
"Nassim Taleb, Absorbent Barriers and House Money",148 points,1 day ago
Practical Go benchmarks,176 points,2 days ago
Prototype to production: How to build and design a PCB prototype,592 points,2 days ago
A week-long programming retreat,12 points,4 days ago
Sergey Brin's Home Page from the Late 90s,59 points,1 day ago
Show HN: Solving visual analogy puzzles with Deep Learning,118 points,1 day ago
"For a baby’s brain to benefit, read the right books at the right time",6 points,2 days ago
Build a QR code scanning app with 26 lines of JSON,26 points,11 hours ago
Ask HN: Benefits of front-end JavaScript frameworks?,105 points,12 hours ago
Make your own build system,10 points,1 day ago
Too much fun with “git pull –rebase”,201 points,1 day ago
FBI's Use of Paid Best Buy Informants Goes Deeper Than We Knew,159 points,2 days ago
LibBF – a small library to handle arbitrary precision floating point numbers,131 points,2 days ago
How Amazon Can Blow Up Asset Management,1919 points,2 days ago
Machine Learning Crash Course,143 points,7 days ago
Google Flutter and AWS Lambda for a serverless mobile app,918 points,2 days ago
Project Gutenberg blocks access from Germany,24 points,5 days ago
The RedMonk Programming Language Rankings: January 2018,3 points,18 hours ago
Show HN: Augmented Reality App to Predict the Sun and Moon Location,17 points,20 hours ago
Robot smashes Rubik’s Cube record with 0.38-second solve,26 points,16 hours ago
Hulu.com: A new way to watch TV (2008),314 points,10 hours ago
"Show HN: Hearth – A Dropbox-like, IPFS-powered personal website publisher",5 points,3 days ago
"A Man, a Plan, a Lemon, China: The Ballad of Frank Meyer",41 points,1 day ago
A Brainfuck to WebAssembly compiler and playground,34 points,2 days ago
Handling Overload (2016),35 points,1 day ago
How the U.S. Squandered Its Steel Superiority,163 points,2 days ago
Let’s Get Better at Demanding Better from Tech,45 points,2 days ago
Apple Employee Threatens to Leak User’s iCloud Data,214 points,19 hours ago
A new storage engine for PostgreSQL to provide better control over bloat,21 points,3 days ago
"Show HN: Build circuit boards faster with 25,000 free models",5 points,1 day ago
An ad removal pass for the web (2015),69 points,1 day ago
Launch HN: Shogun (YC W18) – Storefront Builder for ECommerce Sites,115 points,2 days ago
I am a “MasterChef” survivor,202 points,3 days ago
Snap is laying off about 100 engineers,328 points,1 day ago
Notes for new Make users,52 points,3 days ago
Exim Off-By-one RCE: Exploiting CVE-2018-6789 with Fully Mitigations Bypassing,138 points,2 days ago
Measuring the many sizes of a Git repository,233 points,2 days ago
Research suggests some potential benefits to being a loner,114 points,1 day ago
The dirty industry of fast fashion is causing an environmental “emergency”,258 points,2 days ago
The Dirty Secret of ‘Secret Family Recipes’,31 points,2 days ago
Le Corbusier’s Algerian Fantasy: Blocking the Casbah,144 points,1 day ago
"Stack Overflow: Support for OpenID Ends on July 1, 2018",68 points,1 day ago
Launch HN: Airship (YC W18) – Controlled rollouts of new features,42 points,1 day ago
Elixir School,60 points,1 day ago
Show HN: MyCryptoWiki – A free cryptocurrency coin wiki,74 points,2 days ago
The New U.S.-China Rivalry: A Technology Race,223 points,1 day ago
How generics were added to .NET,240 points,3 days ago
People Don't Know Themselves Very Well,172 points,1 day ago
A proposal to improve Twitter and perhaps the world,15 points,2 days ago
Florida lawmakers vote to stay in Daylight Saving Time all year long,62 points,19 hours ago
Paleoclimatology: Explaining the Evidence (2006),463 points,1 day ago
How Airlines don’t care about privacy: Case Study Emirates.com,7 points,4 days ago
Dressmaking Led Elizabeth Keckley from Slavery to the White House,252 points,1 day ago
OpenTable Fires Employee for Making Fake Reserve Bookings,83 points,3 days ago
Atari 8 Bit Computers FAQ,27 points,2 days ago
The Internet Is Better When Decentralized and Neutral,3 points,1 day ago
Microsoft says AI and machine learning driven by open source and the cloud,34 points,10 hours ago
NYTimes Obituary for Ada Lovelace,46 points,18 hours ago
"The Risks of Key Recovery, Key Escrow, and Trusted Third-Party Encryption (1997)",121 points,3 days ago
